記号,検索ワード,10進法,16進法
🤑,強欲な顔,&#129297;,&#x1F911;
🤠,カウボーイハットの顔,&#129312;,&#x1F920;
😈,角つき笑顔,&#128520;,&#x1F608;
👿,小悪魔,&#128127;,&#x1F47F;
👹,鬼,&#128121;,&#x1F479;
👺,天狗,&#128122;,&#x1F47A;
🤡,ピエロの顔,&#129313;,&#x1F921;
💩,うんち,&#128169;,&#x1F4A9;
👻,お化け,&#128123;,&#x1F47B;
💀,ドクロ 骸骨 スカル skull,&#128128;,&#x1F480;
☠,ドクロマーク 骸骨 スカル skull,&#9760;,&#x2620;
👽,宇宙人,&#128125;,&#x1F47D;
👾,エイリアン,&#128126;,&#x1F47E;
🤖,ロボットの顔,&#129302;,&#x1F916;
🎃,ジャック・オ・ランタン,&#127875;,&#x1F383;
😺,口を開けて笑う猫,&#128570;,&#x1F63A;
😸,ニヤニヤ笑う猫,&#128568;,&#x1F638;
😹,嬉し泣きしたネコの顔,&#128569;,&#x1F639;
😻,ハートの目をした猫の笑顔 heart 恋 愛 好き,&#128571;,&#x1F63B;
😼,ニヤリと笑う猫の顔,&#128572;,&#x1F63C;
😽,目を閉じてキスをする猫,&#128573;,&#x1F63D;
🙀,疲れたネコの顔,&#128576;,&#x1F640;
😿,泣いたネコの顔,&#128575;,&#x1F63F;
😾,怒ったネコの顔,&#128574;,&#x1F63E;
🫶,ハートポーズ heart 恋 愛 好き,&#129782;,&#x1FAF6;
🤲,上に向けた両手のひら,&#129330;,&#x1F932;
👐,開いた手,&#128080;,&#x1F450;
