記号,検索ワード,10進法,16進法
🏄‍♂️,サーフィンをする男性,&#127940;&#8205;&#9794;&#65039;,&#x1F3C4;&#x200D;&#x2642;&#xFE0F;
🏊‍♀️,泳ぐ女性,&#127946;&#8205;&#9792;&#65039;,&#x1F3CA;&#x200D;&#x2640;&#xFE0F;
🏊,泳ぐ人,&#127946;,&#x1F3CA;
🏊‍♂️,泳ぐ男性,&#127946;&#8205;&#9794;&#65039;,&#x1F3CA;&#x200D;&#x2642;&#xFE0F;
🤽‍♀️,水球をする女性 water みず,&#129341;&#8205;&#9792;&#65039;,&#x1F93D;&#x200D;&#x2640;&#xFE0F;
🤽,水球をする人 water みず,&#129341;,&#x1F93D;
🤽‍♂️,水球をする男性 water みず,&#129341;&#8205;&#9794;&#65039;,&#x1F93D;&#x200D;&#x2642;&#xFE0F;
🚣‍♀️,ボートを漕ぐ女性,&#128675;&#8205;&#9792;&#65039;,&#x1F6A3;&#x200D;&#x2640;&#xFE0F;
🚣,ボートを漕ぐ人,&#128675;,&#x1F6A3;
🚣‍♂️,ボートを漕ぐ男性,&#128675;&#8205;&#9794;&#65039;,&#x1F6A3;&#x200D;&#x2642;&#xFE0F;
🧗‍♀️,クライミングしている女性,&#129495;&#8205;&#9792;&#65039;,&#x1F9D7;&#x200D;&#x2640;&#xFE0F;
🧗,クライミングしている人,&#129495;,&#x1F9D7;
🧗‍♂️,クライミングしている男性,&#129495;&#8205;&#9794;&#65039;,&#x1F9D7;&#x200D;&#x2642;&#xFE0F;
🚵‍♀️,マウンテンバイクに乗る女性,&#128693;&#8205;&#9792;&#65039;,&#x1F6B5;&#x200D;&#x2640;&#xFE0F;
🚵,マウンテンバイクに乗る人,&#128693;,&#x1F6B5;
🚵‍♂️,マウンテンバイクに乗る男性,&#128693;&#8205;&#9794;&#65039;,&#x1F6B5;&#x200D;&#x2642;&#xFE0F;
🚴‍♀️,自転車に乗る女性,&#128692;&#8205;&#9792;&#65039;,&#x1F6B4;&#x200D;&#x2640;&#xFE0F;
🚴,自転車に乗る人,&#128692;,&#x1F6B4;
🚴‍♂️,自転車に乗る男性,&#v;&#8205;&#9794;&#65039;,&#x1F6B4;&#x200D;&#x2642;&#xFE0F;
🏆,トロフィー,&#127942;,&#x1F3C6;
🥇,金メダル,&#129351;,&#x1F947;
🥈,銀メダル,&#129352;,&#x1F948;
🥉,銅メダル,&#129353;,&#x1F949;
🏅,スポーツのメダル,&#127941;,&#x1F3C5;
🎖️,勲章,&#127894;&#65039;,&#x1F396;&#xFE0F;
🏵️,バラ飾り,&#127989;&#65039;,&#x1F3F5;&#xFE0F;
🎗️,リマインダーリボン,&#127895;&#65039;,&#x1F397;&#xFE0F;
🎫,きっぷ,&#127915;,&#x1F3AB;
🎟️,入場券,&#127903;&#65039;,&#x1F39F;&#xFE0F;
🎪,サーカス小屋,&#127914;,&#x1F3AA;
🤹‍♀️,ジャグリングをする女性,&#129337;&#8205;&#9792;&#65039;,&#x1F939;&#x200D;&#x2640;&#xFE0F;
🤹,ジャグリングをする人,&#129337;,&#x1F939;
🤹‍♂️,ジャグリングをする男性,&#129337;&#8205;&#9794;&#65039;,&#x1F939;&#x200D;&#x2642;&#xFE0F;
🎭,舞台芸術,&#127917;,&#x1F3AD;
🩰,バレエシューズ,&#129648;,&#x1FA70;
🎨,絵の具パレット,&#127912;,&#x1F3A8;
🫟,飛沫,&#129759;,&#x1FADF;
🎬,カチンコ,&#127916;,&#x1F3AC;
🎤,マイク,&#127908;,&#x1F3A4;
🎧,ヘッドホン,&#127911;,&#x1F3A7;
🎼,楽譜,&#127932;,&#x1F3BC;
🎹,鍵盤,&#127929;,&#x1F3B9;
🪇,マラカス,&#129671;,&#x1FA87;
🥁,ドラム,&#129345;,&#x1F941;
🪘,長いドラム,&#129688;,&#x1FA98;
🎷,サックス,&#127927;,&#x1F3B7;
🎺,トランペット,&#127930;,&#x1F3BA;
🪗,アコーディオン,&#129687;,&#x1FA97;
🎸,ギター,&#127928;,&#x1F3B8;
🪕,バンジョー,&#129685;,&#x1FA95;
🪉,ハープ,&#129673;,&#x1FA89;
🎻,バイオリン,&#127931;,&#x1F3BB;
🪈,フルート,&#129672;,&#x1FA88;
🎲,サイコロ,&#127922;,&#x1F3B2;
♟️,チェスのポーン,&#9823;&#65039;,&#x265F;&#xFE0F;
🎯,的中,&#127919;,&#x1F3AF;
🎳,ボウリング,&#127923;,&#x1F3B3;
🎮,テレビゲーム,&#127918;,&#x1F3AE;
🎰,スロットマシン,&#127920;,&#x1F3B0;
🧩,パズルのピース,&#129513;,&#x1F9E9;
🚗,自動車,&#128663;,&#x1F697;
🚕,タクシー,&#128661;,&#x1F695;
🚙,キャンピングカー,&#128665;,&#x1F699;
🚌,バス,&#128652;,&#x1F68C;
🚎,トロリーバス,&#128654;,&#x1F68E;
🏎,レーシングカー,&#127950;,&#x1F3CE;
🚓,パトカー,&#128659;,&#x1F693;
🚑,救急車,&#128657;,&#x1F691;
🚒,消防車,&#128658;,&#x1F692;
🚐,マイクロバス,&#128656;,&#x1F690;
🛻,ピックアップトラック,&#128763;,&#x1F6FB;
🚚,配達用トラック,&#128666;,&#x1F69A;
🚛,トレーラー,&#128667;,&#x1F69B;
🚜,トラクター,&#128668;,&#x1F69C;
🦯,白杖,&#129455;,&#x1F9AF;
🦽,手動車いす,&#129469;,&#x1F9BD;
🦼,電動車いす,&#129468;,&#x1F9BC;
🩼,松葉杖,&#129660;,&#x1FA7C;
🛴,キックボード,&#128756;,&#x1F6F4;
🚲,自転車,&#128690;,&#x1F6B2;
🛵,スクーター,&#128757;,&#x1F6F5;
🏍,レースバイク,&#127949;,&#x1F3CD;
🛺,オートリキシャ,&#128762;,&#x1F6FA;
🛞,車輪,&#128734;,&#x1F6DE;
🚨,パトライト,&#128680;,&#x1F6A8;
🚔,パトカー,&#128660;,&#x1F694;
🚍,バス,&#128653;,&#x1F68D;
🚘,対向車,&#128664;,&#x1F698;
🚖,タクシー,&#128662;,&#x1F696;
🚡,ロープウェイ,&#128673;,&#x1F6A1;
🚠,ロープウェイ,&#128672;,&#x1F6A0;
🚟,高架鉄道,&#128671;,&#x1F69F;
🚃,鉄道車両,&#128537;,&#x1F683;
🚋,路面電車,&#128538;,&#x1F68B;
🚞,山岳鉄道,&#128523;,&#x1F69E;
🚝,モノレール,&#128539;,&#x1F69D;
🚄,新幹線,&#128541;,&#x1F684;
🚅,新幹線,&#128645;,&#x1F685;
🚈,ライトレール,&#128648;,&#x1F688;
🚂,蒸気機関車,&#128642;,&#x1F682;
🚆,電車,&#128646;,&#x1F686;
🚇,地下鉄,&#128647;,&#x1F687;
🚊,路面電車,&#128650;,&#x1F68A;
🚉,駅,&#128649;,&#x1F689;
✈️,飛行機,&#9992;&65039;,&#x2708;&#xFE0F;
🛫,飛行機の離陸,&#128747;,&#x1F6EB;
🛬,飛行機の着陸,&#128748;,&#x1F6EC;
🛩,小型航空機,&#128745;,&#x1F6E9;
💺,座席,&#128186;,&#x1F4BA;
🛰,サテライト,&#128752;,&#x1F6F0;
🚀,ロケット,&#128640;,&#x1F680;
🛸,空飛ぶ円盤,&#128760;,&#x1F6F8;
🚁,ヘリコプター,&#128641;,&#x1F681;
🛶,カヌー,&#128758;,&#x1F6F6;
⛵,ヨット,&#9973;,&#x26F5;
🚤,スピードボート,&#128676;,&#x1F6A4;
🛥,モーターボート,&#128741;,&#x1F6E5;
🛳,旅客戦,&#128755;,&#x1F6F3;
⛴,フェリー,&#9972;,&#x26F4;
🚢,船,&#128674;,&#x1F6A2;
🛟,救命浮き輪,&#128735;,&#x1F6DF;
⚓,いかり,&#9875;,&#x2693;
🪝,フック,&#129693;,&#x1FA9D;
⛽,ガソリンスタンド,&#9981;,&#x26FD;
🚧,工事中,&#128679;,&#x1F6A7;
🚦,縦向きの信号機,&#128678;,&#x1F6A6;
🚥,横向きの信号機,&#128677;,&#x1F6A5;
🚏,バス停,&#128655;,&#x1F68F;
🗺,世界地図,&#128506;,&#x1F5FA;
🗿,モヤイ像,&#128511;,&#x1F5FF;
🗽,自由の女神,&#128509;,&#x1F5FD;
🗼,東京タワー,&#128508;,&#x1F5FC;
🏰,西洋の城,&#127984;,&#x1F3F0;
🏯,日本の城,&#127983;,&#x1F3EF;
🏟,スタジアム,&#127967;,&#x1F3DF;
🎡,観覧車,&#127905;,&#x1F3A1;
🎢,ジェットコースター star ほし,&#127906;,&#x1F3A2;
🎠,メリーゴーランド,&#127904;,&#x1F3A0;
⛲,噴水 water みず,&#9970;,&#x26F2;
⛱,立てられたパラソル,&#9969;,&#x26F1;
🏖,ビーチと傘,&#127958;,&#x1F3D6;
🏝,無人島,&#127965;,&#x1F3DD;
🏜,砂漠,&#127964;,&#x1F3DC;
🌋,火山 fire ほのお 燃える,&#127755;,&#x1F30B;
⛰,山,&#9968;,&#x26F0;
🏔,雪山,&#127956;,&#x1F3D4;
🗻,富士山,&#128507;,&#x1F5FB;
🏕,キャンプ,&#127957;,&#x1F3D5;
⛺,テント,&#9978;,&#x26FA;
🛖,小屋,&#128726;,&#x1F6D6;
🏠,家,&#127968;,&#x1F3E0;
🏡,庭付きの家,&#127969;,&#x1F3E1;
🏘,家,&#127960;,&#x1F3D8;
🏚,廃墟,&#127962;,&#x1F3DA;
🏗,建設中,&#127959;,&#x1F3D7;
🏭,工場,&#127981;,&#x1F3ED;
🏢,オフィスビル,&#127970;,&#x1F3E2;
🏬,デパート,&#127980;,&#x1F3EC;
🏣,日本の郵便局,&#127971;,&#x1F3E3;
🏤,ヨーロッパの郵便局,&#127972;,&#x1F3E4;
🏥,病院,&#127973;,&#x1F3E5;
🏦,銀行,&#127974;,&#x1F3E6;
🏨,ホテル,&#127976;,&#x1F3E8;
🏪,コンビニエンスストア,&#127978;,&#x1F3EA;
🏫,学校,&#127979;,&#x1F3EB;
🏩,ラブホテル,&#127977;,&#x1F3E9;
💒,結婚式,&#128146;,&#x1F492;
🏛,歴史的な建物,&#127963;,&#x1F3DB;
⛪,教会,&#9962;,&#x26EA;
🕌,モスク,&#128332;,&#x1F54C;
🕍,シナゴーグ,&#128333;,&#x1F54D;
🛕,ヒンドゥー教寺院,&#128725;,&#x1F6D5;
🕋,カアバ,&#128331;,&#x1F54B;
⛩,神社,&#9961;,&#x26E9;
🛤,線路,&#128740;,&#x1F6E4;
🛣,高速道路,&#128739;,&#x1F6E3;
🗾,日本列島,&#128510;,&#x1F5FE;
🎑,お月見,&#127889;,&#x1F391;
🏞,国立公園,&#127966;,&#x1F3DE;
🌅,日の出,&#127749;,&#x1F305;
🌄,山からの日の出,&#127748;,&#x1F304;
🌠,流れ星 star ほし,&#127776;,&#x1F320;
🎇,線香花火 fire ほのお 燃える,&#127879;,&#x1F387;
🎆,花火 fire ほのお 燃える,&#127878;,&#x1F386;
🌇,ビルに沈む夕陽,&#127751;,&#x1F307;
🌆,夕暮れの街並み,&#127750;,&#x1F306;
🏙,街並み,&#127961;,&#x1F3D9;
🌃,星空 star ほし,&#127747;,&#x1F303;
🌌,天の川,&#127756;,&#x1F30C;
🌉,夜の橋,&#127753;,&#x1F309;
🌁,霧,&#127745;,&#x1F301;
⌚️,腕時計,&#8986;&#65039;,&#x231A;&#xFE0F;
📱,携帯電話,&#128241;,&#x1F4F1;
📲,着信中,&#128242;,&#x1F4F2;
💻,パソコン,&#128187;,&#x1F4BB;
⌨️,キーボード,&#9000;&#65039;,&#x2328;&#xFE0F;
🖥,デスクトップパソコン,&#128421;,&#x1F5A5;
🖨,プリンター,&#128424;,&#x1F5A8;
🖱,3ボタンマウス,&#128433;,&#x1F5B1;
🖲,トラックボール,&#128434;,&#x1F5B2;
🕹,ジョイスティック,&#128377;,&#x1F579;
🗜,圧縮,&#x1F5DC;,&#x1F5DC;
💽,MD,&#128189;,&#x1F4BD;
💾,フロッピーディスク,&#128190;,&#x1F4BE;
💿,CDディスク,&#128191;,&#x1F4BF;
📀,DVD,&#128192;,&#x1F4C0;
📼,ビデオテープ,&#128252;,&#x1F4FC;
📷,カメラ,&#128247;,&#x1F4F7;
📸,フラッシュを焚いたカメラ,&#128248;,&#x1F4F8;
📹,ビデオカメラ,&#128249;,&#x1F4F9;
🎥,ビデオカメラ,&#127909;,&#x1F3A5;
📽,映写機,&#128253;,&#x1F4FD;
🎞,フィルムのフレーム,&#127902;,&#x1F39E;
📞,受話器,&#128222;,&#x1F4DE;
☎,電話,&#9742;,&#x260E;
📟,ポケットベル,&#128223;,&#x1F4DF;
📠,FAX,&#128224;,&#x1F4E0;
📺,テレビ,&#128250;,&#x1F4FA;
📻,ラジオ,&#x1F4FB;,&#x1F4FB;
🎙,スタジオマイク,&#127897;,&#x1F399;
🎚,調節バー,&#127898;,&#x1F39A;
🎛,コントロールノブ,&#127899;,&#x1F39B;
🧭,コンパス,&#129517;,&#x1F9ED;
⏱,ストップウォッチ,&#9201;,&#x23F1;
⏲,タイマー時計,&#9202;,&#x23F2;
⏰,目覚まし時計,&#9200;,&#x23F0;
🕰,置き時計,&#128368;,&#x1F570;
⌛,砂時計,&#8987;,&#x231B;
⏳,砂時計,&#9203;,&#x23F3;
📡,衛生アンテナ,&#128225;,&#x1F4E1;
🔋,電池,&#128267;,&#x1F50B;
🪫,バッテリー残量少,&#129707;,&#x1FAAB;
🔌,コンセント,&#128537;,&#x1F50C;
💡,電球,&#128538;,&#x1F4A1;
🔦,懐中電灯,&#128523;,&#x1F526;
🕯,ろうそく,&#128539;,&#x1F56F;
🪔,ディヤランプ,&#128541;,&#x1FA94;
🧯,消火器 fire ほのお 燃える,&#129519;,&#x1F9EF;
🛢,ドラム缶,&#128738;,&#x1F6E2;
💸,羽の生えたお札,&#128184;,&#x1F4B8;
💵,ドル札,&#128539;,&#128181;
💴,円記号の入った小切手,&#128180;,&#x1F4B4;
💶,ユーロ札,&#128182;,&#x1F4B6;
💷,ポンド札,&#128183;,&#x1F4B7;
🪙,コイン,&#129689;,&#x1FA99;
💰,ドル袋,&#128176;,&#x1F4B0;
💳,クレジットカード,&#128179;,&#x1F4B3;
🪪,身分証明書,&#129706;,&#x1FAAA;
💎,宝石,&#128142;,&#x1F48E;
⚖️,はかり,&#9878;&#65039;,&#x2696;&#xFE0F;
🪜,はしご,&#129692;,&#x1FA9C;
🧰,道具箱,&#129520;,&#x1F9F0;
🪛,ドライバー,&#129691;,&#x1FA9B;
🔧,レンチ,&#128295;,&#x1F527;
🔨,ハンマー,&#128296;,&#x1F528;
⚒,ハンマーとつるはし,&#9874;,&#x2692;
🛠,ハンマーとレンチ,&#128736;,&#x1F6E0;
⛏,つるはし,&#9935;,&#x26CF;
🪏,ショベル (スコップ),&#129679;,&#x1FA8F;
🪚,木工用のこぎり,&#129690;,&#x1FA9A;
🔩,ナットとボルト,&#128297;,&#x1F529;
⚙️,歯車,&#9881;&#65039;,&#x2699;&#xFE0F;
🪤,ネズミ捕り器,&#129700;,&#x1FAA4;
🧱,れんが,&#129521;,&#x1F9F1;
⛓,鎖,&#9939;,&#x26D3;
🧲,磁石,&#129522;,&#x1F9F2;
🔫,水鉄砲 water みず,&#128299;,&#x1F52B;
💣,爆弾,&#128163;,&#x1F4A3;
🧨,爆竹,&#129512;,&#x1F9E8;
🪓,斧,&#129683;,&#x1FA93;
🔪,包丁,&#128298;,&#x1F52A;
🗡,短剣,&#128481;,&#x1F5E1;
⚔️,交差した剣,&#9876;&#65039;,&#x2694;&#xFE0F;
🛡,盾,&#128737;,&#x1F6E1;
🚬,喫煙マーク,&#128684;,&#x1F6AC;
⚰️,棺,&#9904;&#65039;,&#x26B0;&#xFE0F;
🪦,墓石,&#129702;,&#x1FAA6;
🪘,長いドラム,&#129688;,&#x1FA98;
🏺,アンフォラ,&#127994;,&#x1F3FA;
🔮,水晶玉 water みず,&#128302;,&#x1F52E;
📿,数珠状の祈りの道具,&#128255;,&#x1F4FF;
🧿,ナザールのお守り,&#129535;,&#x1F9FF;
🪬,ハムサ,&#129708;,&#x1FAAC;
💈,理髪店の看板柱,&#128136;,&#x1F488;
⚗️,蒸留器,&#9879;&#65039;,&#x2697;&#xFE0F;
🔭,望遠鏡,&#128301;,&#x1F52D;
🔬,顕微鏡,&#128300;,&#x1F52C;
🕳,穴,&#128371;,&#x1F573;
🩻,X線,&#129659;,&#x1FA7B;
🩹,ガーゼ付きばんそうこう,&#129657;,&#x1FA79;
🩺,聴診器,&#129658;,&#x1FA7A;
💊,薬,&#128138;,&#x1F48A;
💉,注射器,&#128137;,&#x1F489;
🩸,血1滴,&#129656;,&#x1FA78;
🧬,DNA,&#129516;,&#x1F9EC;
🦠,微生物,&#129440;,&#x1F9A0;
🧫,ペトリ皿,&#129515;,&#x1F9EB;
🧪,試験管,&#129514;,&#x1F9EA;
🌡,温度計,&#127777;,&#x1F321;
🧹,ほうき,&#129529;,&#x1F9F9;
🪠,プランジャー,&#129696;,&#x1FAA0;
🧺,バスケット,&#129530;,&#x1F9FA;
🧻,ペーパーロール,&#129531;,&#x1F9FB;
🚽,トイレ,&#128701;,&#x1F6BD;
🚰,飲料水 water みず,&#128688;,&#x1F6B0;
🚿,シャワー,&#128703;,&#x1F6BF;
🛁,バスタブ,&#128705;,&#x1F6C1;
🛀,風呂,&#128704;,&#x1F6C0;
🧼,せっけん,&#129532;,&#x1F9FC;
🪥,歯ブラシ,&#129701;,&#x1FAA5;
🪒,カミソリ,&#129682;,&#x1FA92;
🪮,ヘアピック,&#129710;,&#x1FAAE;
🧽,スポンジ,&#129533;,&#x1F9FD;
🪣,バケツ,&#129699;,&#x1FAA3;
🧴,ローションボトル,&#129524;,&#x1F9F4;
🛎,卓上ベル,&#128718;,&#x1F6CE;
🔑,鍵,&#128273;,&#x1F511;
🗝,古い鍵,&#128477;,&#x1F5DD;
🚪,ドア,&#128682;,&#x1F6AA;
🪑,椅子,&#129681;,&#x1FA91;
🛋,ソファーとランプ,&#128715;,&#x1F6CB;
🛏,ベッド,&#128719;,&#x1F6CF;
🛌,宿泊施設,&#128716;,&#x1F6CC;
🧸,テディベア,&#129528;,&#x1F9F8;
🪆,入れ子人形,&#129670;,&#x1FA86;
🖼,額に入った写真,&#128444;,&#x1F5BC;
🪞,鏡,&#129694;,&#x1FA9E;
🪟,窓,&#129695;,&#x1FA9F;
🛍,買い物袋,&#128717;,&#x1F6CD;
🛒,ショッピングカート,&#128722;,&#x1F6D2;
🎁,プレゼント,&#127873;,&#x1F381;
🎈,風船,&#127880;,&#x1F388;
🎏,こいのぼり,&#127887;,&#x1F38F;
🎀,リボン,&#127872;,&#x1F380;
🪄,魔法の杖,&#129668;,&#x1FA84;
🪅,ピニャータ,&#129669;,&#x1FA85;
🎊,くす玉,&#127882;,&#x1F38A;
🎉,クラッカー,&#127881;,&#x1F389;
🎎,ひな祭り,&#127886;,&#x1F38E;
🪭,折り畳み扇子,&#129709;,&#x1FAAD;
🏮,居酒屋の提灯,&#127982;,&#x1F3EE;
🎐,風鈴,&#127888;,&#x1F390;
🪩,ミラーボール,&#129705;,&#x1FAA9;
🧧,赤い封筒,&#129511;,&#x1F9E7;
✉️,封筒,&#9993;&#65039;,&#x2709;&#xFE0F;
📩,メール受信中,&#128233;,&#x1F4E9;
📨,メール受信,&#128232;,&#x1F4E8;
📧,Eメール,&#128231;,&#x1F4E7;
💌,ラブレター,&#128140;,&#x1F48C;
📥,受信トレイ,&#128229;,&#x1F4E5;
📤,送信トレイ,&#128228;,&#x1F4E4;
📦,荷物,&#128230;,&#x1F4E6;
🏷,ラベル,&#127991;,&#x1F3F7;
🪧,プラカード,&#129703;,&#x1FAA7;
📪,旗が下がっていて閉じている状態の郵便受け,&#128234;,&#x1F4EA;
📫,旗が上がっていて閉じている状態の郵便受け,&#128235;,&#x1F4EB;
📬,旗が上がっていて開いている状態の郵便受け,&#128236;,&#x1F4EC;
📭,旗が下がっていて開いている状態の郵便受け,&#128237;,&#x1F4ED;
📮,ポスト,&#128238;,&#x1F4EE;
📯,郵便ラッパ,&#128239;,&#x1F4EF;
📜,巻物,&#128220;,&#x1F4DC;
📃,原稿,&#128195;,&#x1F4C3;
📄,原稿,&#128196;,&#x1F4C4;
📑,ブックマークタブ,&#128209;,&#x1F4D1;
🧾,領収書,&#129534;,&#x1F9FE;
📊,棒グラフ,&#128202;,&#x1F4CA;
📈,上昇するグラフ,&#128200;,&#x1F4C8;
📉,下降するグラフ,&#128201;,&#x1F4C9;
🗒,リングノート,&#128466;,&#x1F5D2;
🗓,リングカレンダー,&#128467;,&#x1F5D3;
📆,日めくりカレンダー,&#128198;,&#x1F4C6;
📅,カレンダー,&#128197;,&#x1F4C5;
🗑,ごみ箱,&#128465;,&#x1F5D1;
📇,名刺フォルダ,&#128199;,&#x1F4C7;
🗃,カードファイル,&#128451;,&#x1F5C3;
🗳,投票用紙と投票箱,&#128499;,&#x1F5F3;
🗄,ファイル収納庫,&#128452;,&#x1F5C4;
📋,クリップボード,&#128203;,&#x1F4CB;
📁,フォルダ,&#128193;,&#x1F4C1;
📂,開いたフォルダ,&#128194;,&#x1F4C2;
🗂,仕切りカード,&#128450;,&#x1F5C2;
🗞,丸めた新聞,&#128478;,&#x1F5DE;
📰,新聞,&#128240;,&#x1F4F0;
📓,ノート,&#128211;,&#x1F4D3;
📔,装飾カバーのノート,&#128212;,&#x1F4D4;
📒,帳簿,&#128210;,&#x1F4D2;
📕,閉じた本,&#128213;,&#x1F4D5;
📗,緑色の本,&#128215;,&#x1F4D7;
📘,青い本,&#128216;,&#x1F4D8;
📙,オレンジ色の本,&#128217;,&#x1F4D9;
📚,書籍,&#128218;,&#x1F4DA;
📖,開いた本,&#128214;,&#x1F4D6;
🔖,ブックマーク,&#128278;,&#x1F516;
🧷,安全ピン,&#129527;,&#x1F9F7;
🔗,リンク,&#128279;,&#x1F517;
📎,クリップ,&#128206;,&#x1F4CE;
🖇,繋がったペーパークリップ,&#128391;,&#x1F587;
📐,三角定規,&#128208;,&#x1F4D0;
📏,定規,&#128207;,&#x1F4CF;
🧮,そろばん,&#129518;,&#x1F9EE;
📌,画鋲,&#128204;,&#x1F4CC;
📍,画鋲,&#128205;,&#x1F4CD;
✂,ハサミ,&#9986;,&#x2702;
🖊,左下向きのボールペン,&#128394;,&#x1F58A;
🖋,左下向きの万年筆,&#128395;,&#x1F58B;
✒️,ペン先,&#10002;&#65039;,&#x1F61A;&#xFE0F;
🖌,左下向きのブラシ,&#128396;,&#x1F58C;
🖍,左下向きのクレヨン,&#128397;,&#x1F58D;
📝,メモ,&#128221;,&#x1F4DD;
✏️,鉛筆,&#9999;&#65039;,&#x270F;&#xFE0F;
🔍,左向き虫眼鏡,&#128269;,&#x1F50D;
🔎,右向き虫眼鏡,&#128270;,&#x1F50E;
🔏,錠前とペン,&#128271;,&#x1F50F;
🔐,コインロッカー,&#128272;,&#x1F510;
🔒,鍵,&#128274;,&#x1F512;
🔓,解錠,&#128275;,&#x1F513;
